id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,pickup_address,pickup_street,pickup_borough,dropoff_address,dropoff_street,dropoff_borough,maximum temperature,minimum temperature,average temperature,precipitation,snow fall,snow depth
id1080784,2,2016-02-29 16:40:21,2016-02-29 16:47:01,1,-73.95391845703125,40.77887344360352,-73.96387481689453,40.77116394042969,N,400,"1530, 3rd Avenue, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10028, United States",3rd Avenue,Manhattan,"760, Park Avenue, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 11206, United States",Park Avenue,Manhattan,61,47,54.0,0.05,0.0,0
id1520195,2,2016-02-29 08:48:00,2016-02-29 09:13:47,1,-73.98253631591797,40.74568176269531,-74.01101684570312,40.71466445922852,N,1547,"Building 462-468 Park Avenue South, East 32nd Street, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10016, United States",East 32nd Street,Manhattan,"75 Park Place, 75, Park Place, Manhattan Community Board 1, Manhattan, New York County, City of New York, New York, 10007, United States",Park Place,Manhattan,61,47,54.0,0.05,0.0,0
id0773686,2,2016-02-29 18:05:21,2016-02-29 18:29:20,1,-73.9908676147461,40.69615936279297,-73.97248077392578,40.64242935180664,N,1439,"Tillary Street, Downtown Brooklyn, Kings County, City of New York, New York, 11201, United States",Tillary Street,Kings County,"385, East 7th Street, Kensington, Brooklyn, Kings County, City of New York, New York, 11218, United States",East 7th Street,Brooklyn,61,47,54.0,0.05,0.0,0
id1845596,1,2016-02-29 07:55:42,2016-02-29 08:00:02,1,-73.96141052246094,40.771583557128906,-73.972900390625,40.75920867919922,N,260,"1034A, Lexington Avenue, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10021, United States",Lexington Avenue,Manhattan,"King of Falafel & Shawarma, East 53rd Street, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10022, United States",East 53rd Street,Manhattan,61,47,54.0,0.05,0.0,0
id0889885,1,2016-03-11 23:35:37,2016-03-11 23:53:57,2,-73.98831176757811,40.73174285888672,-73.9947509765625,40.69493103027344,N,1100,"3rd Avenue & East 12th Street, 3rd Avenue, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10035, United States",3rd Avenue,Manhattan,"119, Montague Street, Brooklyn, Kings County, City of New York, New York, 11201, United States",Montague Street,Brooklyn,68,48,58.0,0.06,0.0,0
id2167416,1,2016-03-11 14:47:46,2016-03-11 14:56:13,1,-73.98138427734375,40.77350234985352,-73.97151947021484,40.76378631591797,N,507,"2, West 66th Street, Upper West Side, Manhattan, New York County, City of New York, New York, 10023, United States",West 66th Street,Manhattan,"650 Madison Avenue, 650, Madison Avenue, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10022, United States",Madison Avenue,Manhattan,68,48,58.0,0.06,0.0,0
id2149877,2,2016-03-11 21:33:04,2016-03-11 21:42:39,2,-73.99131774902342,40.74969100952149,-73.98123168945312,40.75770950317383,N,575,"Pennsylvania Station, Pennsylvania Plaza, Chelsea District, Manhattan, New York County, City of New York, New York, 10119, United States",Pennsylvania Plaza,Manhattan,"Diamond District, West 47th Street, Diamond District, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10036, United States",West 47th Street,Manhattan,68,48,58.0,0.06,0.0,0
id0046556,2,2016-03-11 16:07:03,2016-03-11 16:24:35,1,-73.98106384277344,40.77442169189453,-73.95489501953125,40.76966857910156,N,1052,"Equinox, 160, Columbus Avenue, Upper West Side, Manhattan, New York County, City of New York, New York, 10025, United States",Columbus Avenue,Manhattan,"1437, 1st Avenue, Lenox Hill, Manhattan, New York County, City of New York, New York, 10021, United States",1st Avenue,Manhattan,68,48,58.0,0.06,0.0,0
id3524670,1,2016-03-11 06:50:38,2016-03-11 07:03:11,3,-74.00554656982422,40.72576141357422,-73.97552490234375,40.75758361816406,N,753,"Varick Street, Hudson Square, Manhattan, New York County, City of New York, New York, 10005, United States",Varick Street,Manhattan,"ITT-American Building, 437, Madison Avenue, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10037, United States",Madison Avenue,Manhattan,68,48,58.0,0.06,0.0,0
id3017152,2,2016-03-11 20:21:43,2016-03-11 20:36:43,2,-73.98175811767578,40.771263122558594,-73.94761657714845,40.77924346923828,N,900,"30 Lincoln Plaza Condominium, 30, West 63rd Street, Upper West Side, Manhattan, New York County, City of New York, New York, 10023, United States",West 63rd Street,Manhattan,"1728, 1st Avenue, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10128, United States",1st Avenue,Manhattan,68,48,58.0,0.06,0.0,0
